SerCon 'Callisto CF-IRMS' system,,,,,,,,,,,
10:07:04,08/12/16,,,,,,,,,,
,,,,,,,,,,,
Data from file : C:\Sercon\Callisto v1014\SERCON_GSL\Results\160812.prn,,,,,,,,,,,
Un-Drift Corrected,,,,,,,,,,,
N,Name,Weight/Vol,Beam Area,N (Sam),15N (Sam),None (Sam),Beam Area,C (Sam),13C (Sam),18O (Sam),
 , , , , ug,DeltaAir, , , ug,DeltaPDB,DeltaPDB, 
51,TBR238,0.68,5.37E-08,32.75843697,0.540620694,0,4.06E-07,391.4215508,-22.19363418,-48.77742956,
52,ESS107,1.02,2.55E-07,155.1392433,5.487356601,0,4.51E-07,434.547123,-21.92574437,-47.8365149,
53,TBR249,0.62,2.86E-08,17.40528684,3.51367596,0,4.02E-07,387.8805806,-23.95271854,-48.66515829,
54,TBR248,0.62,2.97E-08,18.10790627,1.795408856,0,4.06E-07,391.0907955,-23.33947455,-49.41760344,
55,SALANINE,1.12,4.82E-07,293.8073034,-2.605666618,0,9.61E-07,926.5774716,-25.83965976,-51.79110861,
56,ALANINE,1.05,2.81E-07,15.69999981,-1.559999943,0,4.58E-07,40.40000153,-27.11000061,-18,
57,SEAL2,1.1,2.68E-07,157.1431087,17.11045405,0,4.62E-07,427.4116842,-13.41907121,-45.7907145,
58,TBR244,0.65,3.49E-08,20.49355928,0.592325913,0,4.36E-07,403.7549771,-23.12119443,-47.04747711,
59,TBR250,0.68,3.59E-08,21.0731553,0.893153918,0,4.51E-07,418.109815,-23.34660512,-48.09419374,
60,ESS110,1.08,2.21E-07,129.4587899,5.31581438,0,3.98E-07,368.8693688,-21.9142362,-46.73313434,
61,TM02,0.63,3.39E-08,19.90220293,-0.348128063,0,4.09E-07,378.3601795,-24.09469814,-46.86508347,
62,ESS106,0.97,2.43E-07,142.8692849,4.843749094,0,4.32E-07,400.1468854,-21.33128306,-46.38359653,
63,SALANINE,1.03,2.57E-07,150.7675982,-1.445086239,0,4.21E-07,389.4810348,-27.1989393,-45.73483326,
64,ALANINE,1.13,2.83E-07,15.69999981,-1.559999943,0,4.61E-07,40.40000153,-27.11000061,-18,
65,TBR237,0.62,2.81E-08,17.61007494,-1.534488571,0,3.79E-07,374.8515556,-22.84921171,-48.27644342,
66,SEAL2,1.04,2.46E-07,154.4236837,16.9438458,0,4.26E-07,422.0278411,-13.49849165,-47.85872122,
67,SALANINE,1.05,2.77E-07,173.6552554,-1.484234393,0,4.52E-07,447.2803817,-27.12309948,-47.42869331,
68,ALANINE,1.02,2.69E-07,15.69999981,-1.559999943,0,4.40E-07,40.40000153,-27.11000061,-18,
68,END,,,,,,,,,,
Drift Corrected,,,,,,,,,,,
N,Name,Weight/Vol,Beam Area,N (Sam),15N (Sam),None (Sam),Beam Area,C (Sam),13C (Sam),18O (Sam),
 , , , ,ug,DeltaAir, , ,ug,DeltaPDB,DeltaPDB, 
1,ALANINE,1.02,2.56E-07,151.1270873,-1.333995479,0,4.15E-07,383.7466778,-27.23721548,-51.77973378,
2,ALANINE,1.08,2.87E-07,169.5599931,-1.560016619,0,4.72E-07,436.3200278,-27.11024509,-47.40638358,
3,ALANINE,1.03,2.68E-07,158.2077683,-1.22568346,0,4.40E-07,405.6130383,-27.15186324,-52.91616507,
4,ALANINE,1.07,2.85E-07,167.8348711,-1.173070633,0,4.66E-07,428.930889,-27.07560781,-53.130488,
5,ALANINE,1.1,2.89E-07,169.9692336,-1.169617434,0,4.73E-07,434.7281312,-27.10272698,-52.0585981,
6,ALANINE,1.08,2.91E-07,170.5963435,-1.194754677,0,4.76E-07,436.8435187,-27.04717869,-50.43284862,
7,ALANINE,1.15,2.44E-09,1.429680764,-1.515595876,0,6.82E-12,6.26E-03,1035.195719,3331.232603,
8,ALANINE,1.1,2.95E-07,172.6999908,-1.560016619,0,4.85E-07,444.4000078,-27.11024509,-47.40638358,
9,TM05,0.62,4.09E-08,24.03051364,3.045807083,0,3.61E-07,332.1736171,-24.4750274,-46.9026821,
10,TBR246,0.71,1.23E-07,72.50951779,8.863889692,0,4.10E-07,379.907425,-22.62255491,-48.11088802,
11,USGS40,1,1.66E-07,98.02416817,-4.546739843,0,4.49E-07,418.1840191,-26.27020656,-47.50887362,
12,TBR245,0.71,1.14E-07,67.74326186,9.012661933,0,4.17E-07,390.625019,-22.96909666,-47.94907514,
13,TBR240,0.71,4.69E-08,27.97725969,3.698907767,0,4.29E-07,403.6942299,-23.27165905,-49.19317763,
14,ESS109,1.15,2.57E-07,153.7218477,4.703561653,0,4.59E-07,434.207104,-21.53167522,-47.97935495,
15,SALANINE,0.98,2.56E-07,153.7108431,-1.571629833,0,4.18E-07,398.0477566,-27.32402583,-47.36233828,
16,ALANINE,1.09,2.84E-07,171.1299992,-1.560016619,0,4.60E-07,440.3600178,-27.11024509,-47.40638358,
17,TBR239,0.68,3.92E-08,23.54990714,0.440562797,0,4.36E-07,416.6108493,-22.49391195,-48.68602221,
18,TM10,0.61,4.31E-08,25.79855188,2.017367263,0,3.65E-07,347.3736662,-22.85905451,-49.41890258,
19,TBR247,0.71,3.91E-08,23.35060777,5.350941517,0,4.54E-07,430.6468973,-23.46227897,-49.0782731,
20,TBR253,0.68,4.65E-08,27.6250292,4.962653888,0,4.23E-07,400.0921698,-23.36852538,-49.45378984,
21,TBR251,0.66,4.09E-08,24.2464852,2.765654365,0,4.55E-07,428.8646629,-23.54218985,-49.3890896,
22,TBR241,0.71,5.44E-08,32.10687827,2.302595795,0,4.37E-07,411.1222081,-23.3250719,-49.57759657,
23,SALANINE,1.15,3.05E-07,179.7350397,-1.599530934,0,4.93E-07,461.9819681,-27.1066456,-48.34447903,
24,ALANINE,1.15,3.08E-07,180.5499924,-1.560016619,0,4.97E-07,464.6000161,-27.11024509,-47.40638358,
25,TM06,0.63,3.80E-08,22.28199612,-2.933006249,0,3.99E-07,372.7661438,-24.10713986,-48.01989661,
26,TM01,0.63,3.11E-08,18.23180878,0.751286344,0,3.99E-07,372.4180992,-23.86540738,-48.71121759,
27,USGS40,1.05,1.69E-07,98.81492707,-4.809624968,0,4.55E-07,424.5264115,-26.41961158,-47.68513611,
28,TM07,0.64,3.28E-08,19.2305947,0.630547737,0,3.87E-07,361.0771292,-23.24071171,-48.02166176,
29,TBR252,0.68,4.33E-08,25.37211601,4.142873355,0,4.42E-07,412.410525,-23.86849565,-48.68687323,
30,TM08,0.65,3.32E-08,19.42960296,0.251514826,0,4.03E-07,375.4572909,-24.78525957,-49.15124962,
31,SALANINE,1.12,2.88E-07,168.5818564,-1.656032012,0,4.65E-07,433.3631923,-27.20364827,-47.72675595,
32,ALANINE,1.17,3.14E-07,183.6900046,-1.560016619,0,5.08E-07,472.6800253,-27.11024509,-47.40638358,
33,TBR254,0.7,2.41E-08,14.26717511,0.509454003,0,3.66E-07,343.7854489,-24.15755141,-48.09670825,
34,TBR242,0.69,3.19E-08,19.06691979,-0.430252006,0,4.38E-07,415.9501623,-23.08836537,-48.84254645,
35,TM03,0.7,4.47E-08,26.99145016,0.299189368,0,4.56E-07,436.5686744,-22.43999902,-49.43562491,
36,USGS40,1.04,1.70E-07,103.6868088,-4.892045423,0,4.58E-07,443.7493991,-26.36901129,-49.00484877,
37,TBR243,0.7,4.20E-08,25.86885744,-0.770485791,0,4.46E-07,435.6489016,-22.61432347,-49.30806307,
38,USGS40,0.99,3.09E-07,192.7138532,-1.600140339,0,5.02E-07,495.2932825,-27.12618761,-49.00205966,
39,SALANINE,1.03,2.67E-07,168.4267409,-1.564071521,0,4.35E-07,433.6055692,-27.18523449,-47.83122012,
40,ALANINE,1.13,2.79E-07,177.4099946,-1.560016619,0,4.53E-07,456.520007,-27.11024509,-47.40638358,
41,TM12,0.64,3.79E-08,23.993926,-0.145871772,0,3.92E-07,393.2566813,-23.99095374,-48.18651646,
42,TM09,0.61,3.50E-08,22.03861002,0.342155408,0,3.98E-07,396.8704032,-23.78385361,-48.94453328,
43,SEAL2,1.14,2.79E-07,175.0038583,16.98761967,0,4.80E-07,476.0695152,-13.41541271,-48.20657432,
44,TBR255,0.74,4.99E-08,31.10574311,7.171669489,0,4.65E-07,458.1148091,-23.05958851,-48.98959696,
45,TM11,0.7,4.82E-08,29.854095,-0.872476568,0,4.29E-07,420.5285767,-23.00787109,-49.96950295,
46,TBR236,0.71,1.08E-07,66.52715349,2.320680323,0,4.40E-07,429.1034854,-22.32070832,-50.0296128,
47,SALANINE,1.15,2.85E-07,174.3711557,-1.54347819,0,4.61E-07,447.1661459,-27.05162572,-49.0144356,
48,ALANINE,1.04,2.68E-07,163.2799977,-1.560016619,0,4.36E-07,420.1600095,-27.11024509,-47.40638358,
49,TM04,0.69,3.62E-08,21.93137633,-1.198341535,0,4.35E-07,417.0598519,-23.08013737,-47.8650547,
50,SEAL2,1.15,2.89E-07,174.7478556,17.03827655,0,4.96E-07,473.3653358,-13.31729242,-47.81518305,
51,TBR238,0.68,5.37E-08,32.29028164,0.539703069,0,4.06E-07,385.5309827,-22.24748685,-48.26411947,
52,ESS107,1.02,2.55E-07,152.1971035,5.486127052,0,4.51E-07,425.8712215,-21.99758981,-47.15130184,
53,TBR249,0.62,2.86E-08,16.99463044,3.512142041,0,4.02E-07,378.2484006,-24.04238712,-47.80923478,
54,TBR248,0.62,2.97E-08,17.59763351,1.793571306,0,4.06E-07,379.4941239,-23.44709327,-48.39112157,
55,SALANINE,1.12,4.82E-07,284.1932024,-2.607801007,0,9.61E-07,894.6809738,-25.9649096,-50.59632221,
56,ALANINE,1.05,2.81E-07,164.8500038,-1.560016619,0,4.58E-07,424.2000286,-27.11024509,-47.40638358,
57,SEAL2,1.1,2.68E-07,158.4140438,17.09787337,0,4.62E-07,430.8777923,-13.41764623,-45.99625252,
58,TBR244,0.65,3.49E-08,20.82775582,0.567573478,0,4.36E-07,410.3570511,-23.11825665,-47.45792012,
59,TBR250,0.68,3.59E-08,21.59286514,0.856014562,0,4.51E-07,428.4495619,-23.34222294,-48.70905022,
60,ESS110,1.08,2.21E-07,133.751058,5.266077043,0,3.98E-07,381.133197,-21.90839093,-47.55393863,
61,TM02,0.63,3.39E-08,20.73392905,-0.409948696,0,4.09E-07,394.2161992,-24.08734255,-47.89072424,
62,ESS106,0.97,2.43E-07,150.094401,4.769179965,0,4.32E-07,420.4398355,-21.32253782,-47.61472515,
63,SALANINE,1.03,2.57E-07,159.7385291,-1.531538013,0,4.21E-07,412.721545,-27.18848061,-47.17180926,
64,ALANINE,1.13,2.83E-07,177.4099946,-1.560016619,0,4.61E-07,456.520007,-27.11024509,-47.40638358,
65,TBR237,0.62,2.81E-08,17.38316661,-1.533150974,0,3.79E-07,369.5706012,-22.83718301,-48.2686694,
66,SEAL2,1.04,2.46E-07,150.4947668,16.9465705,0,4.26E-07,410.3018816,-13.47421316,-47.84316652,
67,SALANINE,1.05,2.77E-07,167.111182,-1.480221387,0,4.52E-07,428.8944472,-27.08716351,-47.40534988,
68,ALANINE,1.02,2.69E-07,160.1399999,-1.560016619,0,4.40E-07,412.0800295,-27.11024509,-47.40638358,
